40 4
14 24 45
14 25 67
14 26 32
14 27 29
14 28 74
14 29 99
14 30 98
14 31 96
14 32 48
14 33 58
14 34 7
14 35 89
14 36 42
14 37 92
14 38 72
14 39 69
14 40 56
15 16 45
15 17 84
15 18 0
15 19 59
15 20 32
15 21 45
15 22 83
15 23 35
15 24 87
15 25 79
15 26 4
15 27 92
15 28 87
15 29 44
15 30 43
15 31 98
15 32 47
15 33 62
15 34 90
15 35 11
15 36 31
15 37 59
15 38 66
15 39 92
15 40 90
16 17 25
16 18 41
16 19 78
16 20 49
16 21 14
16 22 52
16 23 81
16 24 62
16 25 85
16 26 36
16 27 93
16 28 60
16 29 25
16 30 81
16 31 22
16 32 8
16 33 13
16 34 24
16 35 44
16 36 29
16 37 85
16 38 7
16 39 51
16 40 23
17 18 73
17 19 73
17 20 25
17 21 22
17 22 86
17 23 81
17 24 0
17 25 34
17 26 48
17 27 4
17 28 83
17 29 10
17 30 53
17 31 99
17 32 72
17 33 84
17 34 9
17 35 77
17 36 88
17 37 39
17 38 46
17 39 88
17 40 30
18 19 3
18 20 17
18 21 62
18 22 24
18 23 22
18 24 11
18 25 6
18 26 1
18 27 89
18 28 70
18 29 70
18 30 13
18 31 98
18 32 33
18 33 49
18 34 82
18 35 39
18 36 90
18 37 90
18 38 65
18 39 100
18 40 62
19 20 93
19 21 44
19 22 49
19 23 69
19 24 68
19 25 42
19 26 33
19 27 19
19 28 25
19 29 75
19 30 54
19 31 94
19 32 38
19 33 50
19 34 75
19 35 58
19 36 21
19 37 12
19 38 2
19 39 68
19 40 54
20 21 24
20 22 41
20 23 42
20 24 100
20 25 30
20 26 88
20 27 54
20 28 38
20 29 35
20 30 4
20 31 85
20 32 42
20 33 0
20 34 55
20 35 76
20 36 8
20 37 44
20 38 13
20 39 14
20 40 50
21 22 81
21 23 60
21 24 19
21 25 63
21 26 96
21 27 28
21 28 45
21 29 5
21 30 7
21 31 86
21 32 57
21 33 39
21 34 80
21 35 29
21 36 96
21 37 53
21 38 74
21 39 27
21 40 79
22 23 72
22 24 69
22 25 53
22 26 30
22 27 7
22 28 51
22 29 20
22 30 59
22 31 44
22 32 14
22 33 63
22 34 73
22 35 42
22 36 35
22 37 24
22 38 85
22 39 52
22 40 65
23 24 28
23 25 9
23 26 8
23 27 50
23 28 53
23 29 86
23 30 90
23 31 70
23 32 54
23 33 26
23 34 27
23 35 84
23 36 20
23 37 54
23 38 46
23 39 55
23 40 89
24 25 52
24 26 20
24 27 45
24 28 56
24 29 38
24 30 12
24 31 92
24 32 7
24 33 74
24 34 96
24 35 100
24 36 46
24 37 61
24 38 38
24 39 5
24 40 36
25 26 94
25 27 98
25 28 64
25 29 79
25 30 89
25 31 32
25 32 86
25 33 93
25 34 85
25 35 86
25 36 71
25 37 61
25 38 77
25 39 65
25 40 9
26 27 11
26 28 22
26 29 0
26 30 41
26 31 34
26 32 67
26 33 24
26 34 50
26 35 23
26 36 44
26 37 57
26 38 4
26 39 51
26 40 56
27 28 78
27 29 76
27 30 38
27 31 66
27 32 41
27 33 90
27 34 20
27 35 40
27 36 100
27 37 91
27 38 53
27 39 2
27 40 24
28 29 17
28 30 94
28 31 48
28 32 55
28 33 34
28 34 67
28 35 88
28 36 80
28 37 65
28 38 9
28 39 40
28 40 23
29 30 8
29 31 12
29 32 72
29 33 0
29 34 17
29 35 100
29 36 78
29 37 83
29 38 74
29 39 67
29 40 96
30 31 27
30 32 77
30 33 57
30 34 14
30 35 99
30 36 53
30 37 4
30 38 4
30 39 95
30 40 73
31 32 57
31 33 1
31 34 64
31 35 14
31 36 52
31 37 56
31 38 87
31 39 34
31 40 34
32 33 40
32 34 61
32 35 99
32 36 5
32 37 93
32 38 22
32 39 11
32 40 62
33 34 86
33 35 86
33 36 6
33 37 94
33 38 46
33 39 3
33 40 83
34 35 73
34 36 58
34 37 43
34 38 53
34 39 95
34 40 53
35 36 42
35 37 94
35 38 43
35 39 98
35 40 59
36 37 91
36 38 18
36 39 12
36 40 66
37 38 99
37 39 3
37 40 69
38 39 50
38 40 66
39 40 79
